"","site","studySub","studyName","subSiteID","sppCode","Scale","dateR","rich","div","abund","temp_n","initialDateR","finalDateR","initialRich","initialDiv","initalAbund","duration","PubGrayRaw","Peer","Sys","Taxon","Trophic","alphaSQM","AbundType","AbundUnitsOrig","AbundYes","Event","Event1","Event2","Driver","Prediction","Lat","Long","nSiteReps","Climate","Protection","event1R","event2R","abundFinal","slKM","gammaSQM","richLN","initialRichLN","year0","initialYr","year0Z","initialYrZ","durationZ","abundCS"
"1645","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","1992-09-01",5.623,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,1.744,1.744,30.67,30.67,2.67,2.67,-18.413698630137,NA
"1646","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","1993-04-01",9.288,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.239,1.744,31.25,30.67,3.25,2.67,-18.413698630137,NA
"1647","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","1993-09-01",5.675,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,1.754,1.744,31.67,30.67,3.67,2.67,-18.413698630137,NA
"1648","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","1994-04-01",6.725,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,1.921,1.744,32.25,30.67,4.25,2.67,-18.413698630137,NA
"1649","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","1997-04-01",7.427,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.018,1.744,35.25,30.67,7.25,2.67,-18.413698630137,NA
"1650","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","1999-04-01",8.089,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.103,1.744,37.25,30.67,9.25,2.67,-18.413698630137,NA
"1651","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","2000-04-01",9.357,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.247,1.744,38.25,30.67,10.25,2.67,-18.413698630137,NA
"1652","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","2001-04-01",7.053,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,1.968,1.744,39.25,30.67,11.25,2.67,-18.413698630137,NA
"1653","Gov_fished","Barrett","Barrett","Barrett_Gov_fished_S","S","gamma","2002-04-01",7.797,NA,NA,9,"1992-09-01","2002-04-01",5.623,NA,NA,9.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-41.88,148.31,3,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.066,1.744,40.25,30.67,12.25,2.67,-18.413698630137,NA
"1654","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","1992-09-01",8.63,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.167,2.167,30.67,30.67,2.67,2.67,-19.413698630137,NA
"1655","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","1993-04-01",10.681,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.378,2.167,31.25,30.67,3.25,2.67,-19.413698630137,NA
"1656","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","1993-09-01",6.678,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,1.914,2.167,31.67,30.67,3.67,2.67,-19.413698630137,NA
"1657","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","1994-04-01",9.34,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.245,2.167,32.25,30.67,4.25,2.67,-19.413698630137,NA
"1658","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","1997-04-01",8.952,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.203,2.167,35.25,30.67,7.25,2.67,-19.413698630137,NA
"1659","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","1999-04-01",10.094,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.322,2.167,37.25,30.67,9.25,2.67,-19.413698630137,NA
"1660","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","2000-04-01",12.015,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.494,2.167,38.25,30.67,10.25,2.67,-19.413698630137,NA
"1661","Gov_mpa","Barrett","Barrett","Barrett_Gov_mpa_S","S","gamma","2001-04-01",11.105,NA,NA,8,"1992-09-01","2001-04-01",8.63,NA,NA,8.58630136986301,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"yes","MPA",NA,"Fishing closure","positive",-41.873,148.315,2,"temperate","1_protected","1995-06-02",NA,NA,1,2000,2.416,2.167,39.25,30.67,11.25,2.67,-19.413698630137,NA
"2864","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1992-04-01",15.303,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.735,2.735,30.25,30.25,2.25,2.25,-17.9945205479452,NA
"2865","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1993-04-01",14.09,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.653,2.735,31.25,30.25,3.25,2.25,-17.9945205479452,NA
"2866","Maria_fished","Barrett","Barrett","Barrett_Maria_fished_S","S","gamma","1994-04-01",13.984,NA,NA,11,"1992-04-01","2002-04-01",15.303,NA,NA,10.0054794520548,"Pub","Published","hardBottom","fish","3",NA,"Abundance",NA,0,"no",NA,NA,"None","none",-42.61,148.035,5,"temperate","2_unprotected","1995-06-02",NA,NA,1,2000,2.645,2.735,32.25,30.25,4.25,2.25,-17.9945205479452,NA
