"","site","studySub","studyName","subSiteID","Scale","date.no","even","temp_n","duration","initialEven","Sys","Taxon","Trophic","Prediction","Lat","Long","Climate","Protection","area","year0","initialYr","year0Z","initialYrZ","durationZ"
"543","Arrabida","Beldade","Beldade","Beldade_Arrabida_S","gamma",35795,0.6,4,1,0.6,"hardBottom","cryptobenthic fishes",2,"none",38.457,-9.002,"temperate","1_protected",1740,40,40,12,12,-27
"544","Arrabida","Beldade","Beldade","Beldade_Arrabida_S","gamma",35885,0.56,4,1,0.6,"hardBottom","cryptobenthic fishes",2,"none",38.457,-9.002,"temperate","1_protected",1740,40.25,40,12.25,12,-27
"542","Arrabida","Beldade","Beldade","Beldade_Arrabida_S","gamma",36068,0.65,4,1,0.6,"hardBottom","cryptobenthic fishes",2,"none",38.457,-9.002,"temperate","1_protected",1740,40.75,40,12.75,12,-27
"541","Arrabida","Beldade","Beldade","Beldade_Arrabida_S","gamma",36160,0.68,4,1,0.6,"hardBottom","cryptobenthic fishes",2,"none",38.457,-9.002,"temperate","1_protected",1740,41,40,13,12,-27
"936","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",23674,0.56721627875,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,6.81,6.81,-21.19,-21.19,-22.82
"938","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",23773,0.610331405,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,7.09,6.81,-20.91,-21.19,-22.82
"935","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",23849,0.7587460875,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,7.29,6.81,-20.71,-21.19,-22.82
"930","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",23984,0.59458751425,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,7.66,6.81,-20.34,-21.19,-22.82
"937","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",24040,0.66815637625,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,7.82,6.81,-20.18,-21.19,-22.82
"931","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",24123,0.75599872275,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,8.04,6.81,-19.96,-21.19,-22.82
"939","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",24215,0.74473536675,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,8.3,6.81,-19.7,-21.19,-22.82
"932","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",24302,0.797976246,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,8.53,6.81,-19.47,-21.19,-22.82
"934","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",24842,0.79561947475,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,10.01,6.81,-17.99,-21.19,-22.82
"933","BirkeSC","Birkeland","Birkeland","Birkeland_BirkeSC_R","alpha",25563,0.76062614375,10,5.18,0.519020297,"hardBottom","sessile invertebrates and flora",2,"none",48.551,-123.005,"temperate","2_unprotected",0.09,11.99,6.81,-16.01,-21.19,-22.82
"3939","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",37964,0.660347573583333,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,45.94,45.94,17.94,17.94,-24.74
"3943","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38072,0.748841088958333,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,46.23,45.94,18.23,17.94,-24.74
"3936","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38194,0.655018223916667,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,46.57,45.94,18.57,17.94,-24.74
"3940","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38430,0.719085659916667,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,47.21,45.94,19.21,17.94,-24.74
"3944","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38473,0.687272956666667,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,47.33,45.94,19.33,17.94,-24.74
"3946","ON","Elahi_Qsess","Elahi","Elahi_Qsess_ON_R","alpha",38617,0.735873620458333,12,3.26,0.706806927,"hardBottom","sessile invertebrates and flora",2,"none",48.605,-123.092,"temperate","2_unprotected",0.09,47.73,45.94,19.73,17.94,-24.74
