orig.order,row,studyName,site,Event,Event1,Event2,Driver,PressPulse,EventPred,PredictionOld,Prediction,EventDate1,EventDate2,Lat,Long,nSiteReps,Climate,notes,Protection,SiteLengthKM,SQMextra,Depth_m
89,58,Barrett,Gov_fished,no,NA,NA,None,None,NA,neutral,none,33390,NA,-41.88,148.31,3,temperate,,2_unprotected,NA,NA,
90,59,Barrett,Gov_mpa,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,33390,NA,-41.873,148.315,2,temperate,,1_protected,NA,NA,
91,115,Barrett,Maria_fished,no,NA,NA,None,None,NA,neutral,none,33390,NA,-42.61,148.035,5,temperate,,2_unprotected,NA,NA,
92,116,Barrett,Maria_mpa,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,33390,NA,-42.632,147.956,7,temperate,,1_protected,NA,NA,
93,180,Barrett,Tinder_fished,no,NA,NA,None,None,NA,neutral,none,33390,NA,-43.049,147.35,2,temperate,,2_unprotected,NA,NA,
94,181,Barrett,Tinder_mpa,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,33390,NA,-43.057,147.34,2,temperate,,1_protected,NA,NA,
1,46,Bebars,Edkou,yes,Fishing,Dams,Fishing and dam construction,Press,negative,negative,negative,21551,25204,31.251,30.21,1,subtropical,,3_estuary,1,151000000,
2,113,Bebars,Manzalah,yes,Fishing,Dams,Fishing and dam construction,Press,negative,negative,negative,21551,25204,31.321,32.069,1,subtropical,,3_estuary,10,1360000000,
3,127,Bebars,Nile,yes,Fishing,Dams,Fishing and dam construction,Press,negative,negative,negative,21551,25204,31.481,30.838,1,subtropical,,3_estuary,100,8500000000,
162,167,Bedford,SMBAR10,yes,Artificial reef,NA,Artificial reef restoration,Press,positive,positive,positive,31778,NA,34.01,-118.534,1,subtropical,,4_urban,NA,NA,
163,168,Bedford,SMBAR18,yes,Artificial reef,NA,Artificial reef restoration,Press,positive,positive,positive,31778,NA,34.005,-118.537,1,subtropical,,4_urban,NA,NA,
161,169,Bedford,SMBAR3,yes,Artificial reef,NA,Artificial reef restoration,Press,positive,positive,positive,31778,NA,34.0172,-118.536,1,subtropical,,4_urban,NA,NA,
4,55,BeetsFried03,FourSites,yes,HurricaneHugo,HurricaneMarilyn,Hurricanes,Pulse,neutral,neutral,neutral,32752,34943,18.322,-64.688,4,tropical,,1_protected,NA,NA,
176,4,Beldade,Arrabida,no,NA,NA,None,NA,NA,neutral,none,NA,NA,38.457,-9.002,2,temperate,,1_protected,NA,NA,
5,189,Beukema,Wadden15,no,WarmingGlobal,Invasion,Warming (regional) and invasion,Press,neutral,neutral,neutral,25569,29952,52.931,4.863,15,temperate,,3_estuary,NA,NA,
6,32,BIOMON,coastal,no,NA,NA,None,None,NA,neutral,none,NA,NA,52.335,4.447,14,temperate,,2_unprotected,NA,NA,
7,44,BIOMON,Dogger Bank,no,NA,NA,None,None,NA,neutral,none,NA,NA,55.12,3.366,6,temperate,,2_unprotected,NA,NA,
8,134,BIOMON,offshore,no,NA,NA,None,None,NA,neutral,none,NA,NA,52.886,3.96,21,temperate,,2_unprotected,NA,NA,
9,138,BIOMON,Oyster grounds,no,NA,NA,None,None,NA,neutral,none,NA,NA,54.031,3.981,45,temperate,,2_unprotected,NA,NA,
177,172,Birchenough,St1,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,36130,NA,55.156,-1.426,1,temperate,,2_unprotected,NA,NA,
178,173,Birchenough,St2,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,36130,NA,55.144,-1.45,1,temperate,,2_unprotected,NA,NA,
179,174,Birchenough,St5,no,NA,NA,None,NA,NA,neutral,none,NA,NA,55.033,-1.35,1,temperate,,2_unprotected,NA,NA,
180,175,Birchenough,St7,no,NA,NA,None,NA,NA,neutral,none,NA,NA,55.011,-1.325,1,temperate,,2_unprotected,NA,NA,
10,14,Birkeland,BirkeSC,no,NA,NA,None,None,NA,neutral,none,NA,NA,48.551,-123.005,1,temperate,,2_unprotected,NA,NA,
181,27,Bollens,CenBay,no,NA,NA,None,NA,NA,neutral,none,NA,NA,37.847,-122.333,2,subtropical,,4_urban,NA,NA,
182,156,Bollens,SanPabBay,no,NA,NA,None,NA,NA,neutral,none,NA,NA,38.053,-122.313,2,temperate,,4_urban,NA,NA,
183,170,Bollens,SouBay,no,NA,NA,None,NA,NA,neutral,none,NA,NA,37.57,-122.191,2,subtropical,,4_urban,NA,NA,
95,187,Carballo,Venados,no,NA,NA,None,None,NA,neutral,none,NA,NA,23.238,-106.471,1,tropical,,2_unprotected,NA,NA,
