studyName,ReferencePI,Source,Reference_dunic,FigsTables,PubGrayRaw,Peer,Collector,DataThief,SysOrig,Sys,Sys_dunic,Lat,Long,Loc,Event,Event1,Event2,Notes
BeetsFried03,Waddell.2005,NOAA Technical Memorandum NOS NCCOS 11,"Jeffrey, 2005",Figure 4.23,Gray,Unpublished,RE,Yes,coral reef,coralReef,coral reef,18.322,-64.688,"St. John, US Virgin Islands",Yes,HurricaneHugo,HurricaneMarilyn,"Four USVI sites: Yawzi Point, Tektite, Newfound Bay West, Haulover Bay West"
BIOMON,Daan.Mulder.2009,NIOZ Report 2009-5,"Daan, 2009",NA,Gray,Unpublished,MIO,No,soft bottom subtidal,softBottom,subtidal mudflat,52.651,3.96,"North Sea, The Netherlands",No,NA,NA,"Density and biomass data are potentially available, but need to ask Klemens"
FriedBeets08,Friedlander.Beets.2008,NOAA Technical Memorandum NOS NCCOS 70,"Friedlander, 2008","Figure 12A,B",Gray,Unpublished,RE,Yes,coral reef,coralReef,coral reef,18.31,-64.74,"Yawzi Point and Cocoloba Cay, St. John, US Virigin Islands",Yes,HurricaneGilbert,HurricaneHugo,
FriedHawaii,Waddell.2005,NOAA Technical Memorandum NOS NCCOS 11,"Friedlander, 2005",Figure 9.29,Gray,Unpublished,RE,Yes,coral reef,coralReef,coral reef,22.21,-159.51,"Hanalei Bay, Kauai, Hawaii, United States",No,NA,NA,
SeaBrook,Seabrook.2011,"Seabrook Operational Report, 2011","Seabrook, 2011",Figure 5,Gray,Unpublished,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,42.9,-70.79,"Seabrook, New Hampshire, United States",Yes,NuclearPlant,NA,
SwedFishTrap,Aqua Report 4 2014,"B Eriksson, personal communication","Eriksson, 2014",Figure 10,Gray,Unpublished,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,57.26,12.06,"Kattegatt, North Sea",Yes,NuclearPlant,NA,
SwedFishTrawl,Aqua Report 4 2014,"B Eriksson, personal communication","Eriksson, 2014",Figure 5,Gray,Unpublished,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,57.24,12.06,"Kattegatt, North Sea",Yes,PaperMill,NA,http://www.sodra.com/en/Sustainability/
SwedMacro,Aqua Report 4 2014,"B Eriksson, personal communication","Eriksson, 2014",Figure 17,Gray,Unpublished,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,57.68,16.88,SW Baltic Sea,Yes,NuclearPlant,NA,
Bedford,Bedford.etal.2006,California DFG Administrative Report 96-3,"Bedford, 2006",Table 2,Gray,Unpublished,AH,No,hard bottom subtidal,hardBottom,rocky subtidal,34.005,-118.537,"Santa Monica Bay, California, USA",Yes,ArtificialReef,NA,
Bebars,Bebars.etal.1997,Oceanologica Acta 20:421-436,"Bebars, 1997",Table 2,Pub,Published,RE,No,soft bottom subtidal,softBottom,subtidal mudflat,31.481,30.838,"Nile Delta, Egypt",Yes,Fishing,Dams,
