studyName,studySub,protist,coral,plant,algae,fish,inverts,mobile.inverts,sessile.inverts,marine.mammals,phytoplankton,zooplankton,mesh.size,mesh.size.units,Descriptor.of.Taxa.Sampled,Trophic,TaxonDumb,Methods,SppList,Vis,Trwl,Line,Drdg,Trp,PltSz,PltSzUnits,PltN,SiteN,SiAreaCalc,SiAreaCalcUnits,SiLinearExtent,SiLinearExtentUnits,alphaSQM,gammaSQM,DivStandardization,AbundType,AbundUnitsOrig,alphaMult,gammaMult,AbundUnits,AbundYes,Notes,,
Bebars,Bebars,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,Fisheries landings,Open,0,1,1,0,0,NA,NA,NA,3,NA,NA,NA,km,NA,NA,No,Biomass,tonsPerSite,NA,NA,kgSQM,1,"Nile delta is 8500km2, Edkou is 151km2, Manzallah is 1360 km2; calculate sqm as the minimum size?",,
BeetsFried03,BeetsFried03,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,3,fish,Stationary visual census technique; at each site all fish species observed within a 7.5m radius cylinder for 5 minutes,Open,1,0,0,0,0,176.7145868,m2,1,4,176.7145868,m2,0.1,km,NA,176.71,No,Abundance,individualsPerSample,NA,0.005658842,indSQM,1,0.0155,km (for site linear extent),
Beukema,Beukema,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,"Most (12) sites were 1-km long transects where 50 bottom samples of nearly 20dm2 each were taken at distance intervals of 20m, together 0.95m2 per site",Closed,0,0,0,1,0,0.02,m2,50,15,0.95,m2,1,km,NA,0.95,No,Abundance,NA,NA,NA,NA,0,,,
BIOMON,BIOMON,0,0,0,0,0,1,1,1,0,0,0,NA,NA,benthic invertebrates,2,inverts,1-5 Boxcore samples were taken at multiple stations within each of 4 'sites'; diversity data are average across stations for each site x time combination,Open,0,0,0,1,0,0.078,m2,1--5,4,NA,NA,100,km,0.078,NA,No,Abundance,NA,NA,NA,NA,0,"Could not calculate area because different 'sites' (sectors) have hugely different #'s of sites, and each station had varying replication (1-5 grabs)",,
Birkeland,Birkeland,0,0,0,1,0,1,0,1,0,0,0,NA,NA,sessile invertebrates and flora,2,inverts,4 photoquadrats per time point,Open,1,0,0,0,0,0.09,m2,4,1,0.36,m2,0.1,km,0.09,0.36,No,PercentCover,PercentCover,1,1,perCover,1,Multiply by 24 to get the sum of percent cover across 24 quadrats (to be consistent),,
Edmunds,Edmunds,0,1,0,0,0,0,0,0,0,0,0,NA,NA,coral,2,coral,"At each site, 15 photoquadrats per a single 20m transect (random subsamples taken from 16 - 42 samples)",Open,1,0,0,0,0,0.25,m2,15,6,3.75,m2,0.1,km,0.25,3.75,No,PercentCover,PercentCover,1,1,perCover,1,Multiply by 15 to get the sum of percent cover across 15 quadrats (to be consistent),,
Elahi,Elahi_Qmob,0,0,0,0,1,1,1,0,0,0,0,NA,NA,benthic invertebrate and fish consumers,3,mixed,"At each site, 12 permanent quadrats",Closed,1,0,0,0,0,0.09,m2,12,3,1.08,m2,0.1,km,0.09,1.08,No,Abundance,individualsPerSample,11.11111111,0.925925926,indSQM,1,,,
Elahi,Elahi_Qsess,0,0,0,1,0,1,0,1,0,0,0,NA,NA,sessile invertebrates and flora,2,mixed,"At each site, 12 permanent quadrats",Closed,1,0,0,0,0,0.09,m2,12,3,1.08,m2,0.1,km,0.09,1.08,No,PercentCover,PercentCover,1,1,perCover,1,Multiply by 12 to get the sum of percent cover across 24 quadrats (to be consistent),,
Elahi,Elahi_Tmob,0,0,0,0,1,1,1,0,0,0,0,NA,NA,benthic invertebrate and fish consumers,3,mixed,"At each site, 3 permanent transects",Open,1,0,0,0,0,5,m2,3,3,15,m2,0.1,km,5,30,No,Abundance,individualsPerSample,0.2,0.033333333,indSQM,1,,,
Frid2009,Frid2009,0,0,0,0,0,1,1,0,0,0,0,NA,NA,benthic invertebrates,2,inverts,"At one site (M1), 5 van Veen grabs from 1978 - 2005; 72-78 data were not used because > 5 samples were taken",Open,0,0,0,1,0,0.1,m2,5,1,0.5,m2,0.1,km,NA,0.5,No,Abundance,individualsPer1m2,NA,1,indSQM,1,,,
