"","Database","CitationID","StudyID","Site","Latitude","Longitude","DepthElevation","Day","Month","Year","Genus","Species","ObsEventID","ObsID","RepeatType","Treatment","Value","ValueType","ValueUnits"
"1","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,9,1992,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_1992_9_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,5.623,"richness",NA
"2","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,1993,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_1993_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,9.288,"richness",NA
"3","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,9,1993,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_1993_9_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,5.675,"richness",NA
"4","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,1994,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_1994_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,6.725,"richness",NA
"5","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,1997,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_1997_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,7.427,"richness",NA
"6","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,1999,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_1999_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,8.089,"richness",NA
"7","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,2000,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_2000_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,9.357,"richness",NA
"8","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,2001,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_2001_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,7.053,"richness",NA
"9","Elahi","Barrett","Barrett","Gov_fished",-41.88,148.31,NA,1,4,2002,NA,NA,"Barrett_Gov_fished_-41.88_148.31_NA_2002_4_1","Barrett_Gov_fished_-41.88_148.31_NA","unknown",NA,7.797,"richness",NA
"10","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,9,1992,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_1992_9_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,8.63,"richness",NA
"11","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,4,1993,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_1993_4_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,10.681,"richness",NA
"12","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,9,1993,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_1993_9_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,6.678,"richness",NA
"13","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,4,1994,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_1994_4_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,9.34,"richness",NA
"14","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,4,1997,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_1997_4_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,8.952,"richness",NA
"15","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,4,1999,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_1999_4_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,10.094,"richness",NA
"16","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,4,2000,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_2000_4_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,12.015,"richness",NA
"17","Elahi","Barrett","Barrett","Gov_mpa",-41.873,148.315,NA,1,4,2001,NA,NA,"Barrett_Gov_mpa_-41.873_148.315_NA_2001_4_1","Barrett_Gov_mpa_-41.873_148.315_NA","unknown",NA,11.105,"richness",NA
"18","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1992,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1992_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,15.303,"richness",NA
"19","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1993,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1993_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,14.09,"richness",NA
"20","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1994,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1994_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,13.984,"richness",NA
"21","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1995,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1995_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,11.293,"richness",NA
"22","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1996,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1996_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,14.565,"richness",NA
"23","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1997,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1997_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,10.976,"richness",NA
"24","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1998,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1998_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,11.821,"richness",NA
"25","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,1999,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_1999_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,12.823,"richness",NA
"26","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,2000,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_2000_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,12.982,"richness",NA
"27","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,2001,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_2001_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,14.617,"richness",NA
"28","Elahi","Barrett","Barrett","Maria_fished",-42.61,148.035,NA,1,4,2002,NA,NA,"Barrett_Maria_fished_-42.61_148.035_NA_2002_4_1","Barrett_Maria_fished_-42.61_148.035_NA","unknown",NA,13.826,"richness",NA
"29","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1992,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1992_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,14.881,"richness",NA
"30","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1993,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1993_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,15.989,"richness",NA
"31","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1994,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1994_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,14.037,"richness",NA
"32","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1995,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1995_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,14.195,"richness",NA
"33","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1996,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1996_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,16.464,"richness",NA
"34","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1997,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1997_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,15.989,"richness",NA
"35","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1998,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1998_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,14.881,"richness",NA
"36","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,1999,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_1999_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,16.464,"richness",NA
"37","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,2000,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_2000_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,16.517,"richness",NA
"38","Elahi","Barrett","Barrett","Maria_mpa",-42.632,147.956,NA,1,4,2001,NA,NA,"Barrett_Maria_mpa_-42.632_147.956_NA_2001_4_1","Barrett_Maria_mpa_-42.632_147.956_NA","unknown",NA,16.834,"richness",NA
"39","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,4,1992,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1992_4_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,11.504,"richness",NA
"40","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,9,1992,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1992_9_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,7.351,"richness",NA
"41","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,4,1993,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1993_4_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,10.979,"richness",NA
"42","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,9,1993,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1993_9_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,7.924,"richness",NA
"43","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,4,1994,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1994_4_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,9.881,"richness",NA
"44","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,4,1995,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1995_4_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,9.403,"richness",NA
"45","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,4,1996,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1996_4_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,8.401,"richness",NA
"46","Elahi","Barrett","Barrett","Tinder_fished",-43.049,147.35,NA,1,4,1997,NA,NA,"Barrett_Tinder_fished_-43.049_147.35_NA_1997_4_1","Barrett_Tinder_fished_-43.049_147.35_NA","unknown",NA,8.831,"richness",NA
