"","study_id","lat","long","date","species_richness","scale","studySub","site","sample_id"
"1","Barrett",-41.88,148.31,"1992-09-01",5.623,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"2","Barrett",-41.88,148.31,"1993-04-01",9.288,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"3","Barrett",-41.88,148.31,"1993-09-01",5.675,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"4","Barrett",-41.88,148.31,"1994-04-01",6.725,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"5","Barrett",-41.88,148.31,"1997-04-01",7.427,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"6","Barrett",-41.88,148.31,"1999-04-01",8.089,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"7","Barrett",-41.88,148.31,"2000-04-01",9.357,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"8","Barrett",-41.88,148.31,"2001-04-01",7.053,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"9","Barrett",-41.88,148.31,"2002-04-01",7.797,"gamma","Barrett","Gov_fished","Barrett_Gov_fished_gamma"
"10","Barrett",-41.873,148.315,"1992-09-01",8.63,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"11","Barrett",-41.873,148.315,"1993-04-01",10.681,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"12","Barrett",-41.873,148.315,"1993-09-01",6.678,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"13","Barrett",-41.873,148.315,"1994-04-01",9.34,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"14","Barrett",-41.873,148.315,"1997-04-01",8.952,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"15","Barrett",-41.873,148.315,"1999-04-01",10.094,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"16","Barrett",-41.873,148.315,"2000-04-01",12.015,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"17","Barrett",-41.873,148.315,"2001-04-01",11.105,"gamma","Barrett","Gov_mpa","Barrett_Gov_mpa_gamma"
"18","Barrett",-42.61,148.035,"1992-04-01",15.303,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"19","Barrett",-42.61,148.035,"1993-04-01",14.09,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"20","Barrett",-42.61,148.035,"1994-04-01",13.984,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"21","Barrett",-42.61,148.035,"1995-04-01",11.293,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"22","Barrett",-42.61,148.035,"1996-04-01",14.565,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"23","Barrett",-42.61,148.035,"1997-04-01",10.976,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"24","Barrett",-42.61,148.035,"1998-04-01",11.821,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"25","Barrett",-42.61,148.035,"1999-04-01",12.823,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"26","Barrett",-42.61,148.035,"2000-04-01",12.982,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"27","Barrett",-42.61,148.035,"2001-04-01",14.617,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"28","Barrett",-42.61,148.035,"2002-04-01",13.826,"gamma","Barrett","Maria_fished","Barrett_Maria_fished_gamma"
"29","Barrett",-42.632,147.956,"1992-04-01",14.881,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"30","Barrett",-42.632,147.956,"1993-04-01",15.989,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"31","Barrett",-42.632,147.956,"1994-04-01",14.037,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"32","Barrett",-42.632,147.956,"1995-04-01",14.195,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"33","Barrett",-42.632,147.956,"1996-04-01",16.464,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"34","Barrett",-42.632,147.956,"1997-04-01",15.989,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"35","Barrett",-42.632,147.956,"1998-04-01",14.881,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"36","Barrett",-42.632,147.956,"1999-04-01",16.464,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"37","Barrett",-42.632,147.956,"2000-04-01",16.517,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"38","Barrett",-42.632,147.956,"2001-04-01",16.834,"gamma","Barrett","Maria_mpa","Barrett_Maria_mpa_gamma"
"39","Barrett",-43.049,147.35,"1992-04-01",11.504,"gamma","Barrett","Tinder_fished","Barrett_Tinder_fished_gamma"
"40","Barrett",-43.049,147.35,"1992-09-01",7.351,"gamma","Barrett","Tinder_fished","Barrett_Tinder_fished_gamma"
