QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders,1,0,0,0,0,Figure 5,LB,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,June,2005,December,43.98395722,,,21.92513369,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders,1,0,0,0,0,Figure 5,LB,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,December,2006,July,21.92513369,,,31.01604278,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders,1,0,0,0,0,Figure 5,LB,10,10,,,,,,,,,,,2,km^2,1689,m^3,2006,July,2006,February,31.01604278,,,25,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders,1,0,0,0,0,Figure 5,LB,10,10,,,,,,,,,,,2,km^2,1689,m^3,2006,February,2007,June,25,,,34.75935829,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules,1,0,0,0,0,Figure 5,RM,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,June,2005,December,30.88235294,,,10.96256684,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules,1,0,0,0,0,Figure 5,RM,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,December,2006,July,10.96256684,,,20.05347594,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules,1,0,0,0,0,Figure 5,RM,10,10,,,,,,,,,,,2,km^2,1689,m^3,2006,July,2006,February,20.05347594,,,19.2513369,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,"Artificial reef creation, red tide",Yes,"2001, 2005",Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules,1,0,0,0,0,Figure 5,RM,10,10,,,,,,,,,,,2,km^2,1689,m^3,2006,February,2007,June,19.2513369,,,29.27807487,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,Red Tide,Yes,2005,Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months,1,0,0,0,0,Figure 5,Ref,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,June,2005,December,25.13368984,,,10.16042781,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,Red Tide,Yes,2005,Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months,1,0,0,0,0,Figure 5,Ref,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,December,2006,July,10.16042781,,,20.05347594,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,Red Tide,Yes,2005,Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months,1,0,0,0,0,Figure 5,Ref,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,July,2006,February,20.05347594,,,16.04278075,,,,,,,,,,,,,,,,,,,,
JD,327,"Dupont, et al.2010",AH,0,0,0,1,0,0,0,0,0,0,,,small reef fish,Rocky Bottom,27.63,-83,Florida,Yes,Red Tide,Yes,2005,Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months,1,0,0,0,0,Figure 5,Ref,10,10,,,,,,,,,,,2,km^2,1689,m^3,2005,February,2007,June,16.04278075,,,31.01604278,,,,,,,,,,,,,,,,,,,,
